case_name,alpha_value,ate,cate_treated,cate_control,cate_mean,cate_difference,dataset_type,ganite_model_type
cate_average_alpha_0.0,0.0,2.0422495047083724,43.32028727149684,43.32028727149684,43.32028727149684,0.0,cate_predictions,cate
cate_average_alpha_0.7,0.7,1.7461251445625212,47.16612605318715,47.16612605318715,47.16612605318715,0.0,cate_predictions,cate
cate_average_alpha_0.9,0.9,1.477902149111161,43.46901005226226,43.46901005226226,43.46901005226226,0.0,cate_predictions,cate
cate_average_alpha_0.8,0.8,0.7854026463038629,44.76052386915492,44.76052386915492,44.76052386915492,0.0,cate_predictions,cate
cate_average_alpha_0.6,0.6,2.65826258529451,52.458736665200306,52.458736665200306,52.458736665200306,0.0,cate_predictions,cate
cate_average_alpha_0.1,0.1,2.1223941298443214,45.90479152103703,45.90479152103703,45.90479152103703,0.0,cate_predictions,cate
cate_average_alpha_1.0,1.0,1.3944457869115787,45.12648177640234,45.12648177640234,45.12648177640234,0.0,cate_predictions,cate
cate_average_alpha_0.4,0.4,1.361707817912507,43.57621319494901,43.57621319494901,43.57621319494901,0.0,cate_predictions,cate
cate_average_alpha_0.3,0.3,2.835619103696561,50.74905580189439,50.74905580189439,50.74905580189439,0.0,cate_predictions,cate
cate_average_alpha_0.2,0.2,1.9485196353621754,45.41374040927513,45.41374040927513,45.41374040927513,0.0,cate_predictions,cate
cate_average_alpha_0.5,0.5,2.055357810034798,48.23845736508218,48.23845736508218,48.23845736508218,0.0,cate_predictions,cate
cate_average_alpha_0.0,0.0,2.0279175575394257,43.96771652828363,43.96771652828363,43.96771652828363,0.0,cate_predictions,cate
cate_average_alpha_0.7,0.7,1.2903958664396291,43.91797514204781,43.91797514204781,43.91797514204781,0.0,cate_predictions,cate
cate_average_alpha_0.9,0.9,1.1441543991150056,40.45611315008414,40.45611315008414,40.45611315008414,0.0,cate_predictions,cate
cate_average_alpha_0.8,0.8,1.2804831971502173,43.015165771823035,43.015165771823035,43.015165771823035,0.0,cate_predictions,cate
cate_average_alpha_0.6,0.6,1.5876609163609399,46.39161875267899,46.39161875267899,46.39161875267899,0.0,cate_predictions,cate
cate_average_alpha_0.1,0.1,1.776535101230474,45.013120740714974,45.013120740714974,45.013120740714974,0.0,cate_predictions,cate
cate_average_alpha_1.0,1.0,1.1555736848279352,41.10045869574989,41.10045869574989,41.10045869574989,0.0,cate_predictions,cate
cate_average_alpha_0.4,0.4,1.8146430094790869,44.789271586800275,44.789271586800275,44.789271586800275,0.0,cate_predictions,cate
cate_average_alpha_0.3,0.3,1.9124317531024007,46.09992263392255,46.09992263392255,46.09992263392255,0.0,cate_predictions,cate
cate_average_alpha_0.2,0.2,1.539693914392527,43.020338692289364,43.020338692289364,43.020338692289364,0.0,cate_predictions,cate
cate_average_alpha_0.5,0.5,1.9926576500671571,47.05101073847344,47.05101073847344,47.05101073847344,0.0,cate_predictions,cate
