case_name,alpha_value,ate,cate_treated,cate_control,cate_mean,cate_difference,dataset_type,model_type
cate_average_alpha_0.0,0.0,-0.8648867861370405,1.1185760173593897,1.1185760173593897,1.1185760173593897,0.0,cate_predictions,cate
cate_average_alpha_0.7,0.7,-0.8564698621235469,0.8935591159666261,0.8935591159666261,0.8935591159666261,0.0,cate_predictions,cate
cate_average_alpha_0.9,0.9,-0.8171937476373484,0.8545478997090121,0.8545478997090121,0.8545478997090121,0.0,cate_predictions,cate
cate_average_alpha_0.8,0.8,-0.7984400045076465,0.8341330495533508,0.8341330495533508,0.8341330495533508,0.0,cate_predictions,cate
cate_average_alpha_0.6,0.6,-0.749472354368545,0.7852272592377755,0.7852272592377755,0.7852272592377755,0.0,cate_predictions,cate
cate_average_alpha_0.1,0.1,-0.8648867861370405,1.1185760173593897,1.1185760173593897,1.1185760173593897,0.0,cate_predictions,cate
cate_average_alpha_1.0,1.0,-0.6808503681871814,0.7167060054902464,0.7167060054902464,0.7167060054902464,0.0,cate_predictions,cate
cate_average_alpha_0.4,0.4,-0.8764787973278075,0.912871879462318,0.912871879462318,0.912871879462318,0.0,cate_predictions,cate
cate_average_alpha_0.3,0.3,-0.8648867861370405,1.1185760173593897,1.1185760173593897,1.1185760173593897,0.0,cate_predictions,cate
cate_average_alpha_0.2,0.2,-0.8866857497231626,0.9221551932322325,0.9221551932322325,0.9221551932322325,0.0,cate_predictions,cate
cate_average_alpha_0.5,0.5,-0.8174556059140808,0.854345292591459,0.854345292591459,0.854345292591459,0.0,cate_predictions,cate
