y0_potential,y1_potential
1.0,1.0
0.7,1.0
0.0,1.0
0.0,0.0
0.1,0.5
0.11,1.0
1.0,1.0
0.0,1.0
1.0,1.0
1.0,1.0
0.46,1.0
0.0,0.0
0.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.97
1.0,1.0
0.0,1.0
0.03,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.12,1.0
1.0,1.0
0.39,1.0
1.0,1.0
0.0,0.06
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.74,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,1.0
0.0,1.0
0.99,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.14
1.0,1.0
0.0,0.0
1.0,1.0
0.28,1.0
1.0,1.0
0.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.4
1.0,1.0
0.0,1.0
1.0,1.0
0.0,1.0
1.0,1.0
1.0,1.0
0.0,0.99
0.0,1.0
0.1,1.0
0.0,0.6
0.83,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.12
0.0,0.7
0.04,1.0
0.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.6,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.05
1.0,1.0
0.0,1.0
0.02,0.78
0.14,1.0
0.45,1.0
1.0,1.0
0.46,1.0
0.0,1.0
1.0,1.0
0.0,1.0
1.0,1.0
1.0,1.0
0.0,0.73
1.0,1.0
0.0,1.0
0.1,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.58,1.0
0.89,1.0
0.0,0.16
1.0,1.0
0.0,1.0
0.65,1.0
0.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.58,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.02,1.0
0.88,1.0
1.0,1.0
1.0,1.0
0.0,0.02
1.0,1.0
0.0,1.0
0.0,0.03
0.0,1.0
1.0,1.0
0.0,0.06
1.0,1.0
1.0,1.0
0.0,0.61
0.96,1.0
0.12,1.0
0.09,0.93
0.0,1.0
0.0,0.92
0.35,1.0
0.0,0.38
0.99,1.0
0.0,1.0
1.0,1.0
0.75,1.0
1.0,1.0
1.0,1.0
0.07,1.0
0.11,1.0
0.0,1.0
0.0,0.0
0.0,0.33
0.59,1.0
0.0,0.0
0.96,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.33,1.0
0.0,0.0
1.0,1.0
0.0,1.0
0.99,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,1.0
0.0,1.0
0.0,0.0
0.0,0.33
0.0,0.19
1.0,1.0
0.0,0.39
0.0,0.0
1.0,1.0
1.0,1.0
0.12,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,1.0
0.0,0.0
1.0,1.0
0.0,0.31
0.0,0.99
0.68,1.0
1.0,1.0
0.0,1.0
1.0,1.0
0.03,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,1.0
1.0,1.0
0.18,1.0
0.0,1.0
1.0,1.0
0.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,1.0
0.0,0.03
0.0,0.19
1.0,1.0
0.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,1.0
0.0,1.0
0.57,1.0
0.01,0.86
0.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.04
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.74,1.0
1.0,1.0
0.17,1.0
0.12,1.0
0.07,1.0
1.0,1.0
0.99,1.0
0.48,1.0
0.0,0.0
0.0,0.0
0.96,1.0
0.98,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,1.0
0.99,1.0
0.03,1.0
1.0,1.0
0.7,1.0
0.0,0.03
1.0,1.0
1.0,1.0
0.0,0.0
0.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,1.0
0.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.7,1.0
1.0,1.0
0.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.88,1.0
1.0,1.0
1.0,1.0
0.73,1.0
1.0,1.0
0.12,1.0
1.0,1.0
1.0,1.0
0.12,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,1.0
0.0,0.02
1.0,1.0
1.0,1.0
0.02,1.0
0.0,0.79
1.0,1.0
0.0,1.0
0.0,0.16
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.74
1.0,1.0
0.01,1.0
0.0,0.0
1.0,1.0
0.17,1.0
0.13,1.0
0.11,1.0
1.0,1.0
1.0,1.0
0.0,0.28
0.93,1.0
0.0,1.0
0.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.09
0.0,0.14
0.95,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.07,1.0
0.0,1.0
1.0,1.0
1.0,1.0
0.0,1.0
1.0,1.0
0.96,1.0
1.0,1.0
0.09,1.0
0.0,0.86
1.0,1.0
0.0,0.09
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.9
1.0,1.0
1.0,1.0
0.0,1.0
1.0,1.0
0.93,1.0
0.0,1.0
0.0,0.0
0.0,0.01
0.0,1.0
0.0,1.0
0.0,0.5
1.0,1.0
0.37,1.0
0.77,1.0
0.15,1.0
0.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.01,1.0
0.0,1.0
0.99,1.0
0.09,1.0
1.0,1.0
0.0,0.0
0.0,1.0
0.0,0.0
1.0,1.0
0.0,0.91
0.0,1.0
0.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,1.0
0.0,1.0
1.0,1.0
0.31,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,1.0
0.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,1.0
0.02,1.0
0.0,1.0
0.13,1.0
1.0,1.0
0.0,1.0
0.87,1.0
0.3,1.0
0.17,1.0
0.12,1.0
1.0,1.0
0.0,0.03
1.0,1.0
1.0,1.0
0.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.02,1.0
0.98,1.0
1.0,1.0
1.0,1.0
0.0,1.0
0.01,1.0
0.0,0.0
0.21,1.0
0.12,1.0
1.0,1.0
0.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.17,1.0
0.0,1.0
0.0,0.0
1.0,1.0
0.96,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.99,1.0
0.0,1.0
0.0,1.0
0.0,0.97
0.0,1.0
1.0,1.0
0.0,0.0
0.0,0.19
0.99,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,1.0
0.0,1.0
0.0,0.15
1.0,1.0
0.13,1.0
0.0,1.0
1.0,1.0
0.0,0.0
0.2,1.0
0.13,1.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.69
0.0,1.0
0.0,0.0
0.2,1.0
0.02,1.0
1.0,1.0
0.0,0.2
1.0,1.0
0.92,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.2
0.99,1.0
0.0,0.87
1.0,1.0
0.1,0.64
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.26,1.0
1.0,1.0
0.0,0.28
0.0,0.2
1.0,1.0
0.0,0.0
0.0,0.12
1.0,1.0
0.0,1.0
0.0,1.0
1.0,1.0
0.0,1.0
1.0,1.0
0.1,1.0
1.0,1.0
0.61,1.0
0.05,1.0
0.03,0.78
0.0,0.0
1.0,1.0
0.0,1.0
1.0,1.0
0.0,0.93
1.0,1.0
1.0,1.0
0.0,1.0
1.0,1.0
0.0,0.19
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.99
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.17,1.0
1.0,1.0
1.0,1.0
0.0,1.0
0.92,1.0
0.16,1.0
0.0,1.0
1.0,1.0
0.96,1.0
1.0,1.0
1.0,1.0
0.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,1.0
1.0,1.0
0.0,1.0
0.12,1.0
0.0,1.0
1.0,1.0
1.0,1.0
0.0,0.2
0.84,1.0
0.22,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.1,1.0
0.0,0.14
0.61,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,1.0
0.0,1.0
1.0,1.0
0.0,1.0
1.0,1.0
1.0,1.0
0.1,1.0
1.0,1.0
1.0,1.0
0.1,0.9
1.0,1.0
1.0,1.0
0.0,1.0
0.0,0.13
0.06,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,1.0
0.0,1.0
0.1,1.0
0.18,1.0
0.0,0.0
0.0,1.0
