alpha,mse_baseline,accuracy_baseline,mse_cate,accuracy_cate,mse_purebaseline,accuracy_purebaseline
0.0,0.024534757662942823,0.965,0.05060586622754352,0.945,0.024534757662942823,0.965
0.1,0.024534757662942823,0.965,0.045979378492549204,0.95,0.024534757662942823,0.965
0.2,0.024534757662942823,0.965,0.041433131841335145,0.945,0.024534757662942823,0.965
0.30000000000000004,0.024534757662942823,0.965,0.0378220487017558,0.95,0.024534757662942823,0.965
0.4,0.024534757662942823,0.965,0.03375730123249655,0.96,0.024534757662942823,0.965
0.5,0.024534757662942823,0.965,0.031296303353834376,0.96,0.024534757662942823,0.965
0.6000000000000001,0.024534757662942823,0.965,0.029605100447634,0.96,0.024534757662942823,0.965
0.7000000000000001,0.024534757662942823,0.965,0.027482356631171295,0.96,0.024534757662942823,0.965
0.8,0.024534757662942823,0.965,0.0257960031473488,0.96,0.024534757662942823,0.965
0.9,0.024534757662942823,0.965,0.025356457772188642,0.96,0.024534757662942823,0.965
1.0,0.024534757662942823,0.965,0.024534757662942823,0.965,0.024534757662942823,0.965
