mu0,mu1,ps
0.5680000000000008,0.7809999999999998,0.03
0.08489999999999996,0.04090000000000002,0.92
0.9051999999999998,0.6794999999999999,0.1
0.22129999999999975,0.17329999999999995,0.01
0.15529999999999988,0.19099999999999998,0.01
0.42840000000000017,0.48779999999999973,0.05
0.07649999999999996,0.05579999999999993,0.99
0.4776000000000004,0.6531999999999999,0.04
0.0842999999999999,0.0791,0.01
0.2306999999999998,0.18150000000000002,0.03
0.4273,0.46979999999999966,0.85
0.3930999999999999,0.46350000000000013,0.01
0.16849999999999998,0.19310000000000027,0.99
0.4727,0.47499999999999987,0.96
0.1494999999999998,0.40290000000000004,0.01
0.30389999999999995,0.5826999999999998,0.99
0.31879999999999986,0.2541000000000003,0.98
0.28630000000000033,0.4197000000000002,0.01
0.09329999999999995,0.042299999999999977,0.99
0.03869999999999998,0.036600000000000014,0.99
0.1941999999999999,0.23160000000000003,0.02
0.4554999999999994,0.4411,0.03
0.052999999999999964,0.06999999999999991,0.94
0.11159999999999994,0.11229999999999993,0.02
0.19849999999999995,0.16119999999999993,0.96
0.0627,0.1078,0.02
0.09629999999999996,0.0928,0.99
0.3381,0.21289999999999995,0.11
0.018900000000000007,0.04309999999999995,0.01
0.5119999999999996,0.7173999999999995,0.01
0.3816999999999998,0.22430000000000017,0.98
0.4061999999999996,0.5825999999999999,0.05
0.7663000000000001,0.8019999999999997,0.87
0.4363000000000003,0.22220000000000004,0.01
0.28850000000000003,0.2517999999999996,0.98
0.1101,0.1642000000000001,0.92
0.27859999999999985,0.36060000000000003,0.11
0.2308000000000001,0.18940000000000012,0.97
0.18789999999999996,0.0922,0.86
0.3615999999999998,0.11259999999999987,0.99
0.15130000000000007,0.09479999999999997,0.03
0.2169000000000001,0.37849999999999995,0.01
0.2729,0.23000000000000015,0.99
0.3337999999999999,0.5859999999999999,0.01
0.4030000000000002,0.5694000000000004,0.94
0.14060000000000006,0.1325,0.01
0.3896999999999998,0.4429000000000001,0.05
0.0868,0.09569999999999991,0.92
0.8314,0.8440000000000001,0.91
0.3962000000000001,0.3915999999999999,0.92
0.16679999999999995,0.15030000000000002,0.02
0.06450000000000003,0.08409999999999997,0.01
0.1702,0.09829999999999994,0.94
0.06410000000000002,0.10220000000000003,0.01
0.1686000000000001,0.21130000000000002,0.04
0.08979999999999999,0.04609999999999997,0.93
0.27799999999999975,0.37009999999999993,0.05
0.19310000000000002,0.12420000000000007,0.94
0.039299999999999974,0.027400000000000008,0.99
0.1291,0.051800000000000006,0.96
0.3655000000000001,0.39350000000000007,0.03
0.28609999999999963,0.2645,0.07
0.22609999999999972,0.21770000000000014,0.02
0.12949999999999992,0.17819999999999997,0.98
0.17600000000000002,0.06539999999999999,0.94
0.21059999999999987,0.17079999999999992,0.01
0.05709999999999993,0.07289999999999999,0.02
0.09439999999999996,0.1485999999999999,0.01
0.07129999999999997,0.0741999999999999,0.99
0.10069999999999985,0.17339999999999997,0.03
0.8484999999999999,0.7601000000000004,0.11
0.1288,0.0672,0.99
0.07319999999999999,0.08589999999999995,0.02
0.17979999999999996,0.1836000000000001,0.99
0.1347000000000001,0.1715999999999999,0.05
0.3760000000000002,0.37129999999999996,0.01
0.13179999999999994,0.10759999999999996,0.97
0.32480000000000026,0.2860999999999999,0.03
0.3174999999999999,0.21429999999999996,0.99
0.5048999999999999,0.6508000000000004,0.97
0.9097000000000002,0.7923000000000002,0.07
0.2527,0.15979999999999983,0.98
0.042399999999999986,0.042700000000000016,0.98
0.31560000000000027,0.3489,0.01
0.15720000000000006,0.17689999999999997,0.01
0.07600000000000007,0.12609999999999988,0.01
0.06360000000000005,0.10359999999999994,0.04
0.5221,0.5165000000000004,0.94
0.3145999999999998,0.17660000000000003,0.85
0.0469,0.12499999999999994,0.06
0.2767,0.2991000000000003,0.99
0.34459999999999946,0.2833999999999999,0.03
0.2973,0.3696,0.05
0.5482000000000005,0.6459999999999999,0.01
0.3248000000000001,0.19949999999999993,0.98
0.3011,0.2068999999999996,0.99
0.018000000000000013,0.06709999999999998,0.02
0.3757999999999999,0.39829999999999993,0.98
0.15199999999999994,0.1488999999999998,0.95
0.18950000000000003,0.20050000000000015,0.99
0.18980000000000008,0.26609999999999995,0.06
0.03900000000000001,0.10759999999999996,0.01
0.30480000000000035,0.32549999999999996,0.01
0.1127999999999999,0.11539999999999992,0.02
0.2614,0.1894999999999998,0.99
0.2306000000000002,0.2813999999999999,0.03
0.062199999999999964,0.04329999999999993,0.95
0.03509999999999998,0.1341999999999998,0.85
0.05489999999999997,0.07139999999999992,0.98
0.09860000000000001,0.12119999999999992,0.01
0.3320999999999998,0.36620000000000025,0.87
0.5790999999999993,0.6069,0.01
0.6547999999999995,0.4135000000000001,0.03
