case_name,alpha_value,ate,cate_treated,cate_control,cate_mean,cate_difference,dataset_type,model_type
baseline_average_alpha_1.0,1.0,0.010655360118754186,0.0028929247138017623,0.0028929247138017623,0.0028929247138017623,0.0,baseline,baseline
cate_average_alpha_0.0,0.0,0.011588729356620317,0.002832502190482888,0.002832502190482888,0.002832502190482888,0.0,cate_predictions,cate
cate_average_alpha_0.7,0.7,0.012868726635255713,0.002838165340528968,0.002838165340528968,0.002838165340528968,0.0,cate_predictions,cate
cate_average_alpha_0.9,0.9,0.011734358775382989,0.002782761023581754,0.002782761023581754,0.002782761023581754,0.0,cate_predictions,cate
cate_average_alpha_0.8,0.8,0.010825096702418697,0.002754642165404158,0.002754642165404158,0.002754642165404158,0.0,cate_predictions,cate
cate_average_alpha_0.6,0.6,0.012768495112047406,0.002824929873981167,0.002824929873981167,0.002824929873981167,0.0,cate_predictions,cate
cate_average_alpha_0.1,0.1,0.010019371766725361,0.0027869289006172905,0.0027869289006172905,0.0027869289006172905,0.0,cate_predictions,cate
baseline_average_alpha_0.3,0.3,0.010655360118754186,0.0028929247138017623,0.0028929247138017623,0.0028929247138017623,0.0,baseline,baseline
baseline_average_alpha_0.4,0.4,0.010655360118754186,0.0028929247138017623,0.0028929247138017623,0.0028929247138017623,0.0,baseline,baseline
baseline_average_alpha_0.5,0.5,0.010655360118754186,0.0028929247138017623,0.0028929247138017623,0.0028929247138017623,0.0,baseline,baseline
baseline_average_alpha_0.2,0.2,0.010655360118754186,0.0028929247138017623,0.0028929247138017623,0.0028929247138017623,0.0,baseline,baseline
cate_average_alpha_1.0,1.0,0.010655360118754186,0.0028929247138017623,0.0028929247138017623,0.0028929247138017623,0.0,cate_predictions,cate
cate_average_alpha_0.4,0.4,0.011588729356620317,0.002832502190482888,0.002832502190482888,0.002832502190482888,0.0,cate_predictions,cate
cate_average_alpha_0.3,0.3,0.011910390052176879,0.0029280272634579995,0.0029280272634579995,0.0029280272634579995,0.0,cate_predictions,cate
cate_average_alpha_0.2,0.2,0.010400258067974675,0.0027825802166882995,0.0027825802166882995,0.0027825802166882995,0.0,cate_predictions,cate
cate_average_alpha_0.5,0.5,0.011588729356620317,0.002832502190482888,0.002832502190482888,0.002832502190482888,0.0,cate_predictions,cate
baseline_average_alpha_0.7,0.7,0.010655360118754186,0.0028929247138017623,0.0028929247138017623,0.0028929247138017623,0.0,baseline,baseline
baseline_average_alpha_0.0,0.0,0.010655360118754186,0.0028929247138017623,0.0028929247138017623,0.0028929247138017623,0.0,baseline,baseline
baseline_average_alpha_0.9,0.9,0.010655360118754186,0.0028929247138017623,0.0028929247138017623,0.0028929247138017623,0.0,baseline,baseline
baseline_average_alpha_0.8,0.8,0.010655360118754186,0.0028929247138017623,0.0028929247138017623,0.0028929247138017623,0.0,baseline,baseline
baseline_average_alpha_0.1,0.1,0.010655360118754186,0.0028929247138017623,0.0028929247138017623,0.0028929247138017623,0.0,baseline,baseline
baseline_average_alpha_0.6,0.6,0.010655360118754186,0.0028929247138017623,0.0028929247138017623,0.0028929247138017623,0.0,baseline,baseline
