0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,60,3,9,0,4,3,2,0,4,3,63,2,1,2,2,1,1,0
2,21,4,7,0,1,2,0,0,1,2,33,2,0,1,2,1,0,0
3,6,2,1,2,2,2,2,0,4,1,50,2,0,1,2,1,0,0
3,21,0,0,4,2,1,1,0,4,1,29,0,1,2,2,1,1,0
3,12,2,4,4,2,4,1,0,2,2,21,2,1,1,2,1,0,0
0,24,2,0,0,3,4,1,0,4,2,23,2,0,2,2,1,0,0
3,6,2,3,2,2,1,2,0,2,2,32,2,1,1,2,1,1,0
0,24,2,3,1,0,1,0,0,1,1,33,2,1,1,2,1,0,0
0,24,2,3,4,2,2,3,0,4,2,20,2,1,1,2,1,0,0
3,18,4,3,0,1,3,0,0,2,2,35,2,1,2,3,1,1,0
3,27,2,6,4,4,4,2,0,4,1,48,2,1,4,2,2,1,0
1,36,2,4,0,1,4,1,0,1,3,30,2,1,1,3,1,1,0
0,12,1,0,0,1,4,2,0,2,2,46,0,1,2,2,1,1,0
3,18,0,9,0,2,2,2,0,2,2,36,1,1,2,2,2,0,0
0,14,2,0,0,0,1,2,0,4,3,22,2,2,1,2,1,0,0
3,18,4,7,1,2,4,1,0,2,0,30,2,1,2,2,1,0,0
2,6,4,7,0,2,2,1,0,4,1,50,2,1,1,1,1,0,0
3,18,2,4,0,0,3,1,1,4,0,22,2,0,1,2,1,0,0
1,36,2,7,4,2,2,3,0,2,2,27,2,1,1,2,1,0,0
1,9,2,4,0,4,4,1,0,4,0,25,2,1,1,2,1,0,0
3,6,2,3,3,2,4,0,0,2,0,33,2,1,1,2,1,0,0
3,4,4,0,0,3,1,1,0,1,0,37,2,1,1,2,2,0,0
2,24,2,4,2,2,3,1,0,3,2,57,2,1,1,1,1,0,0
3,12,2,4,1,2,4,1,1,2,0,28,2,1,1,2,1,0,0
0,21,2,4,0,1,4,1,0,4,1,28,2,0,1,3,1,1,0
3,12,4,7,0,3,2,2,0,3,0,49,2,1,1,1,2,0,0
3,12,4,0,0,4,4,2,0,4,0,61,2,1,2,1,1,0,0
3,9,2,5,0,1,1,1,0,4,0,23,2,0,1,2,1,1,0
3,24,2,4,0,4,4,2,0,1,0,36,2,1,1,3,1,1,0
0,6,2,0,4,0,4,1,0,3,1,75,2,1,1,3,1,1,0
2,10,2,0,0,1,1,2,2,1,1,37,2,1,1,1,2,0,0
3,12,2,0,4,4,4,2,0,3,2,50,2,1,1,2,1,1,0
1,24,2,0,0,1,4,2,0,1,1,26,2,1,1,2,1,0,0
3,15,4,3,0,3,2,1,1,3,2,24,0,1,2,2,1,0,0
3,12,4,9,4,4,4,2,0,4,3,57,2,0,1,1,1,0,0
0,24,2,3,0,2,2,2,0,2,2,27,1,1,1,2,1,0,0
3,9,2,0,2,4,2,2,0,4,3,51,2,2,1,1,1,0,0
3,24,2,4,2,4,3,2,0,2,2,35,0,1,2,2,1,1,0
1,27,2,9,0,2,4,2,0,2,2,36,2,1,1,2,2,1,0
3,48,4,1,1,2,2,1,0,4,2,24,0,0,2,1,1,0,0
0,42,2,3,0,3,2,2,2,4,1,45,2,2,1,2,2,0,0
3,12,4,0,0,4,4,2,0,1,0,38,2,1,2,1,2,0,0
3,24,2,0,4,1,4,2,0,1,1,54,2,1,1,2,1,0,0
1,9,2,0,4,1,4,2,0,2,0,35,2,1,1,0,1,0,0
3,30,2,1,4,3,2,1,0,4,1,24,1,0,1,1,1,0,0
1,14,2,9,2,4,1,3,0,2,0,35,2,1,1,2,1,1,0
3,5,2,9,0,3,1,2,0,4,0,74,2,1,1,1,1,0,0
1,11,3,4,0,3,2,2,0,4,1,51,2,1,1,2,1,0,0
0,10,2,4,0,4,3,2,0,4,0,52,2,1,1,1,1,0,0
0,48,2,1,0,3,4,2,0,3,1,26,2,1,1,2,2,0,0
3,18,2,9,1,2,3,1,0,4,1,24,2,0,1,1,1,0,0
3,15,1,4,1,4,4,2,0,4,2,34,0,1,1,1,2,0,0
0,40,4,7,0,2,4,2,0,3,3,27,0,1,1,2,1,1,0
3,18,4,4,4,2,4,2,0,3,1,29,2,1,2,2,1,1,0
1,12,2,0,0,4,1,0,0,1,0,46,2,0,2,2,1,0,0
0,18,2,3,3,2,4,2,0,2,2,28,2,1,1,2,1,0,0
3,6,4,4,4,4,4,2,0,4,3,36,2,2,2,2,1,0,0
3,10,2,1,1,2,1,2,1,2,0,32,2,1,1,2,2,0,0
0,9,2,4,0,1,3,1,0,4,1,22,2,0,1,2,1,0,0
3,36,2,7,4,2,2,2,0,4,3,35,2,2,1,1,2,1,0
0,24,2,4,0,2,2,2,0,4,0,21,2,0,1,1,2,0,0
0,24,2,1,0,2,3,2,2,4,3,63,0,1,1,2,2,1,0
1,18,2,9,1,2,4,2,0,4,2,34,2,1,1,2,1,0,0
3,36,4,9,4,4,4,2,0,4,0,36,2,1,2,2,1,0,0
3,36,3,4,0,2,4,2,0,2,2,26,2,1,2,3,1,1,0
3,36,2,9,4,4,3,2,0,2,1,37,2,1,2,2,1,0,0
3,24,3,0,4,4,4,3,0,4,2,54,2,1,2,2,1,1,0
0,20,2,3,4,3,4,2,0,4,2,39,2,1,1,2,1,1,0
0,18,1,3,0,2,4,2,0,3,2,44,0,1,1,2,1,0,0
1,18,2,1,0,0,3,1,0,4,3,38,2,2,1,3,1,1,0
3,12,4,4,0,4,2,2,0,2,3,26,2,1,2,2,1,0,0
