case_name,alpha_value,ate,cate_treated,cate_control,cate_mean,cate_difference,dataset_type,model_type
baseline_average_alpha_1.0,1.0,0.0,0.0,0.0,0.0,0.0,baseline,baseline
cate_average_alpha_0.0,0.0,0.0,0.0,0.0,0.0,0.0,cate_predictions,cate
cate_average_alpha_0.7,0.7,-0.018801260571667627,0.03902974817308698,0.03902974817308698,0.03902974817308698,0.0,cate_predictions,cate
cate_average_alpha_0.9,0.9,0.0,0.0,0.0,0.0,0.0,cate_predictions,cate
cate_average_alpha_0.8,0.8,0.0,0.0,0.0,0.0,0.0,cate_predictions,cate
cate_average_alpha_0.6,0.6,0.0,0.0,0.0,0.0,0.0,cate_predictions,cate
cate_average_alpha_0.1,0.1,0.019521846513958666,0.011602844357698362,0.011602844357698362,0.011602844357698362,0.0,cate_predictions,cate
baseline_average_alpha_0.3,0.3,0.0,0.0,0.0,0.0,0.0,baseline,baseline
baseline_average_alpha_0.4,0.4,0.0,0.0,0.0,0.0,0.0,baseline,baseline
baseline_average_alpha_0.5,0.5,0.0,0.0,0.0,0.0,0.0,baseline,baseline
baseline_average_alpha_0.2,0.2,0.0,0.0,0.0,0.0,0.0,baseline,baseline
cate_average_alpha_1.0,1.0,0.0,0.0,0.0,0.0,0.0,cate_predictions,cate
cate_average_alpha_0.4,0.4,-0.004775491761031835,0.003675556331002828,0.003675556331002828,0.003675556331002828,0.0,cate_predictions,cate
cate_average_alpha_0.3,0.3,0.01011864921466126,0.01365322739503876,0.01365322739503876,0.01365322739503876,0.0,cate_predictions,cate
cate_average_alpha_0.2,0.2,0.004453680437375677,0.009865916901952836,0.009865916901952836,0.009865916901952836,0.0,cate_predictions,cate
cate_average_alpha_0.5,0.5,-0.03967648406426928,0.042335352376249455,0.042335352376249455,0.042335352376249455,0.0,cate_predictions,cate
baseline_average_alpha_0.7,0.7,0.0,0.0,0.0,0.0,0.0,baseline,baseline
baseline_average_alpha_0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,baseline
baseline_average_alpha_0.9,0.9,0.0,0.0,0.0,0.0,0.0,baseline,baseline
baseline_average_alpha_0.8,0.8,0.0,0.0,0.0,0.0,0.0,baseline,baseline
baseline_average_alpha_0.1,0.1,0.0,0.0,0.0,0.0,0.0,baseline,baseline
baseline_average_alpha_0.6,0.6,0.0,0.0,0.0,0.0,0.0,baseline,baseline
