case_name,alpha_value,ate,cate_treated,cate_control,cate_mean,cate_difference,dataset_type,ganite_model_type
cate_average_alpha_0.0,0.0,0.2662261582788535,1.655622745656958,1.655622745656958,1.655622745656958,0.0,cate_predictions,cate
cate_average_alpha_0.7,0.7,0.2500647668108276,1.7043661640989487,1.7043661640989487,1.7043661640989487,0.0,cate_predictions,cate
cate_average_alpha_0.9,0.9,0.25615342380178213,1.7231423202572698,1.7231423202572698,1.7231423202572698,0.0,cate_predictions,cate
cate_average_alpha_0.8,0.8,0.24276945239287098,1.6443034658950217,1.6443034658950217,1.6443034658950217,0.0,cate_predictions,cate
cate_average_alpha_0.6,0.6,0.26250429398541536,1.7091214228539215,1.7091214228539215,1.7091214228539215,0.0,cate_predictions,cate
cate_average_alpha_0.1,0.1,0.28240325772015346,1.7371545175881593,1.7371545175881593,1.7371545175881593,0.0,cate_predictions,cate
cate_average_alpha_1.0,1.0,0.24244682209419988,1.6961227442764502,1.6961227442764502,1.6961227442764502,0.0,cate_predictions,cate
cate_average_alpha_0.4,0.4,0.2544580207289905,1.6615265975171654,1.6615265975171654,1.6615265975171654,0.0,cate_predictions,cate
cate_average_alpha_0.3,0.3,0.25225588321677817,1.6737280009356255,1.6737280009356255,1.6737280009356255,0.0,cate_predictions,cate
cate_average_alpha_0.2,0.2,0.2503875716242672,1.7143564895077703,1.7143564895077703,1.7143564895077703,0.0,cate_predictions,cate
cate_average_alpha_0.5,0.5,0.23293072835842674,1.6566192972978138,1.6566192972978138,1.6566192972978138,0.0,cate_predictions,cate
