0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18,2,2,3,0,0,1,0,0,1,1,0,4,3,3,1,2,2,0
16,4,4,2,0,0,1,1,1,1,1,1,4,4,5,5,5,5,4
18,3,2,3,0,0,0,0,1,1,0,0,5,3,2,1,1,3,2
17,2,1,1,0,0,0,0,0,1,1,0,4,4,2,2,4,5,0
17,1,1,1,0,0,1,0,1,0,1,1,3,5,5,2,2,4,3
18,2,1,2,1,0,0,0,1,0,1,0,4,4,5,4,4,5,4
19,3,2,1,3,0,0,0,1,1,0,0,3,2,1,1,1,3,4
19,1,1,1,1,0,1,0,0,1,1,0,4,4,4,3,3,5,4
16,1,1,2,0,0,1,0,1,1,0,1,5,4,5,4,5,3,0
16,2,3,1,0,0,0,0,0,1,1,0,5,3,3,1,1,3,0
19,2,2,2,0,0,1,0,0,1,1,0,4,3,3,1,1,5,0
18,4,4,1,0,0,0,0,1,1,1,0,3,2,4,1,4,3,6
17,1,1,2,0,0,0,0,0,1,1,0,4,3,3,1,2,4,0
16,4,2,1,0,0,1,0,1,1,1,1,4,3,3,3,4,3,8
18,1,1,2,0,0,0,0,0,1,0,1,5,2,3,1,2,3,2
15,4,1,2,0,0,1,0,1,1,1,0,5,3,4,1,2,2,7
17,4,4,3,0,0,1,0,1,1,1,0,5,4,4,1,3,4,0
18,2,2,3,0,0,1,0,1,1,1,1,4,3,3,1,1,3,0
16,4,4,3,0,0,1,0,1,1,1,0,5,3,2,1,1,5,4
15,2,1,1,0,0,0,0,1,1,1,0,4,3,3,1,2,5,11
15,3,4,2,0,0,1,0,1,1,1,0,5,4,4,1,1,1,0
15,2,1,2,0,0,0,0,1,1,1,1,5,4,2,1,1,5,4
17,2,1,1,0,0,1,0,0,1,1,0,5,4,5,1,2,5,22
16,4,3,2,0,0,0,0,1,1,1,1,1,3,2,1,1,1,4
17,4,4,2,0,1,1,0,0,1,0,0,4,1,4,1,1,1,2
16,1,1,2,0,0,1,0,0,1,1,0,3,4,2,1,1,5,2
15,3,3,2,0,0,1,0,0,1,1,1,4,5,4,1,1,1,4
18,4,4,2,0,0,1,0,1,1,1,0,5,4,3,1,1,2,0
17,1,2,1,0,0,1,0,1,1,1,0,5,5,5,5,5,3,4
18,1,1,2,0,1,0,0,1,1,1,0,5,4,4,1,1,4,0
18,4,4,2,1,1,1,0,1,1,1,1,2,4,4,1,1,4,2
17,4,2,4,0,0,1,0,1,1,1,0,4,2,3,1,1,4,2
17,3,4,2,0,0,0,0,0,1,0,0,5,4,5,2,4,5,2
16,4,4,2,0,0,1,0,0,1,1,0,4,5,2,1,2,3,0
15,2,2,1,0,1,1,0,0,1,1,0,5,4,1,1,1,1,0
15,4,4,2,0,0,1,0,1,1,1,0,4,3,3,1,1,5,0
16,3,1,1,0,0,0,0,1,1,0,0,5,3,2,2,2,5,0
