,Manual,Random,True,GANITE_α5,GANITE_α6,GANITE_α7,GANITE_α8,CATE
0.0,0.795,0.89,0.96,0.815,0.795,0.79,0.825,0.895
0.1,0.795,0.965,0.965,0.82,0.815,0.795,0.845,0.895
0.2,0.81,0.955,0.975,0.825,0.82,0.82,0.865,0.91
0.30000000000000004,0.81,0.985,0.965,0.84,0.835,0.825,0.885,0.925
0.4,0.865,0.985,0.965,0.855,0.84,0.84,0.91,0.94
0.5,0.87,0.98,0.97,0.885,0.865,0.855,0.925,0.94
0.6000000000000001,0.93,0.985,0.96,0.94,0.935,0.925,0.93,0.94
0.7000000000000001,0.95,0.97,0.96,0.95,0.94,0.95,0.955,0.965
0.8,0.955,0.98,0.965,0.965,0.965,0.96,0.96,0.965
0.9,0.965,0.97,0.965,0.965,0.96,0.96,0.96,0.96
1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
