case_name,alpha_value,ate,cate_treated,cate_control,cate_mean,cate_difference,dataset_type,ganite_model_type
ganite_α7_average_alpha_1.0,1.0,6.628755451804875,16934.03682031537,16934.03682031537,16934.03682031537,0.0,ganite_α7,ganite
ganite_α5_average_alpha_0.3,0.3,-4.725786055282205,6127.365352349683,6127.365352349683,6127.365352349683,0.0,ganite_α5,ganite
ganite_α5_average_alpha_0.4,0.4,-2.904337087626251,7888.118126083697,7888.118126083697,7888.118126083697,0.0,ganite_α5,ganite
ganite_α5_average_alpha_0.5,0.5,-1.437113220935478,8392.691641850693,8392.691641850693,8392.691641850693,0.0,ganite_α5,ganite
ganite_α5_average_alpha_0.2,0.2,-6.317688141528077,5370.555609838098,5370.555609838098,5370.555609838098,0.0,ganite_α5,ganite
ganite_α6_average_alpha_1.0,1.0,6.628755451804875,16934.03682031537,16934.03682031537,16934.03682031537,0.0,ganite_α6,ganite
manual_average_alpha_0.2,0.2,-4.234947829897468,1909.6814115384373,1909.6814115384373,1909.6814115384373,0.0,manual,manual
manual_average_alpha_0.5,0.5,0.12637058682396507,5599.594904327252,5599.594904327252,5599.594904327252,0.0,manual,manual
manual_average_alpha_0.4,0.4,-1.324445176612624,3955.2377118349345,3955.2377118349345,3955.2377118349345,0.0,manual,manual
manual_average_alpha_0.3,0.3,-2.6783686314170865,2860.668703344826,2860.668703344826,2860.668703344826,0.0,manual,manual
ganite_α8_average_alpha_0.9,0.9,4.607547805345195,14738.513892749943,14738.513892749943,14738.513892749943,0.0,ganite_α8,ganite
ganite_α8_average_alpha_0.0,0.0,-15.220816709159363,4877.596184617658,4877.596184617658,4877.596184617658,0.0,ganite_α8,ganite
ganite_α5_average_alpha_1.0,1.0,6.628755451804875,16934.03682031537,16934.03682031537,16934.03682031537,0.0,ganite_α5,ganite
ganite_α8_average_alpha_0.7,0.7,-0.271940814320736,8210.14513672372,8210.14513672372,8210.14513672372,0.0,ganite_α8,ganite
ganite_α7_average_alpha_0.3,0.3,-10.700601601262958,5276.168849375922,5276.168849375922,5276.168849375922,0.0,ganite_α7,ganite
ganite_α7_average_alpha_0.4,0.4,-8.111946173348791,5960.754354600911,5960.754354600911,5960.754354600911,0.0,ganite_α7,ganite
ganite_α8_average_alpha_0.6,0.6,-2.382506261920998,6635.99943993808,6635.99943993808,6635.99943993808,0.0,ganite_α8,ganite
ganite_α8_average_alpha_0.1,0.1,-13.066677970614137,4009.721739384344,4009.721739384344,4009.721739384344,0.0,ganite_α8,ganite
ganite_α8_average_alpha_0.8,0.8,2.0826043659971383,10924.503888834312,10924.503888834312,10924.503888834312,0.0,ganite_α8,ganite
ganite_α7_average_alpha_0.5,0.5,-5.566065441009107,7240.493698465489,7240.493698465489,7240.493698465489,0.0,ganite_α7,ganite
ganite_α7_average_alpha_0.2,0.2,-13.347318468064223,5429.908378438464,5429.908378438464,5429.908378438464,0.0,ganite_α7,ganite
true_average_alpha_0.9,0.9,6.629244830768625,17025.220869732526,17025.220869732526,17025.220869732526,0.0,true,true
true_average_alpha_0.0,0.0,6.628755451804875,16934.03682031537,16934.03682031537,16934.03682031537,0.0,true,true
true_average_alpha_0.7,0.7,6.6401274273033195,17018.50488511953,17018.50488511953,17018.50488511953,0.0,true,true
random_average_alpha_0.7,0.7,7.700910480912631,21691.26073482402,21691.26073482402,21691.26073482402,0.0,random,random
ganite_α6_average_alpha_0.3,0.3,-9.35046389427353,1719.681715460465,1719.681715460465,1719.681715460465,0.0,ganite_α6,ganite
ganite_α6_average_alpha_0.4,0.4,-7.381716358045816,2000.6343502710788,2000.6343502710788,2000.6343502710788,0.0,ganite_α6,ganite
random_average_alpha_0.0,0.0,9.018661071354112,75667.75370288469,75667.75370288469,75667.75370288469,0.0,random,random
random_average_alpha_0.9,0.9,6.641896073271922,15534.6338136493,15534.6338136493,15534.6338136493,0.0,random,random
true_average_alpha_0.6,0.6,6.652004912532753,16996.80027565389,16996.80027565389,16996.80027565389,0.0,true,true
true_average_alpha_0.1,0.1,6.675065063262247,17116.27463386335,17116.27463386335,17116.27463386335,0.0,true,true
true_average_alpha_0.8,0.8,6.63141973415957,16949.2578019156,16949.2578019156,16949.2578019156,0.0,true,true
random_average_alpha_0.8,0.8,6.832247480469643,17045.9902716864,17045.9902716864,17045.9902716864,0.0,random,random
random_average_alpha_0.1,0.1,8.328259677607626,71301.82821995817,71301.82821995817,71301.82821995817,0.0,random,random
ganite_α6_average_alpha_0.5,0.5,-4.90499060282492,3319.2196395648125,3319.2196395648125,3319.2196395648125,0.0,ganite_α6,ganite
manual_average_alpha_1.0,1.0,6.628755451804875,16934.03682031537,16934.03682031537,16934.03682031537,0.0,manual,manual
ganite_α6_average_alpha_0.2,0.2,-11.538800071541663,1834.7623899237858,1834.7623899237858,1834.7623899237858,0.0,ganite_α6,ganite
random_average_alpha_0.6,0.6,7.031473465933727,23391.132614233582,23391.132614233582,23391.132614233582,0.0,random,random
ganite_α5_average_alpha_0.7,0.7,1.55443751312648,9841.99259591815,9841.99259591815,9841.99259591815,0.0,ganite_α5,ganite
ganite_α8_average_alpha_1.0,1.0,6.628755451804875,16934.03682031537,16934.03682031537,16934.03682031537,0.0,ganite_α8,ganite
