case_name,alpha_value,ate,cate_treated,cate_control,cate_mean,cate_difference,dataset_type,ganite_model_type
ganite_α7_average_alpha_0.0,0.0,-18.244385682179242,5972.245090553215,5972.245090553215,5972.245090553215,0.0,ganite_α7,ganite
ganite_α7_average_alpha_0.1,0.1,-15.741411414028313,5394.218502539152,5394.218502539152,5394.218502539152,0.0,ganite_α7,ganite
ganite_α7_average_alpha_0.2,0.2,-13.347318468064223,5429.908378438464,5429.908378438464,5429.908378438464,0.0,ganite_α7,ganite
ganite_α7_average_alpha_0.3,0.3,-10.700601601262958,5276.168849375922,5276.168849375922,5276.168849375922,0.0,ganite_α7,ganite
ganite_α7_average_alpha_0.4,0.4,-8.111946173348791,5960.754354600911,5960.754354600911,5960.754354600911,0.0,ganite_α7,ganite
ganite_α7_average_alpha_0.5,0.5,-5.566065441009107,7240.493698465489,7240.493698465489,7240.493698465489,0.0,ganite_α7,ganite
ganite_α7_average_alpha_0.6,0.6,-3.1324301415560214,7990.212624437792,7990.212624437792,7990.212624437792,0.0,ganite_α7,ganite
ganite_α7_average_alpha_0.7,0.7,-1.0488237529819706,8168.079968838729,8168.079968838729,8168.079968838729,0.0,ganite_α7,ganite
ganite_α7_average_alpha_0.8,0.8,1.4020825041440883,10098.675927077591,10098.675927077591,10098.675927077591,0.0,ganite_α7,ganite
ganite_α7_average_alpha_0.9,0.9,4.474929152249469,15061.41746175878,15061.41746175878,15061.41746175878,0.0,ganite_α7,ganite
ganite_α7_average_alpha_1.0,1.0,6.628755451804875,16934.03682031537,16934.03682031537,16934.03682031537,0.0,ganite_α7,ganite
